Source,Reference_number,Duplicate_record,soil.id,Reference,Latitude_deg,Longitude_deg,Soil_type,Depth_cm,Ecosystem_type,climate,Temp_mean,q10calc,substrate,Q10,corg,norg,clay,ph
Hamdi2013,24,,90,Gershenson et al. 2009,,,Gersh-Ga,,grassland,temperate,16,equal-time,Y,2.6,,,,
Hamdi2013,24,,90,Gershenson et al. 2009,,,Gersh-Ga,,grassland,temperate,16,equal-time,N,2.49,,,,
Hamdi2013,24,,90,Gershenson et al. 2009,,,Gersh-Ga,,grassland,temperate,26,equal-time,Y,1.61,,,,
Hamdi2013,24,,90,Gershenson et al. 2009,,,Gersh-Ga,,grassland,temperate,26,equal-time,N,1.4,,,,
Hamdi2013,24,,91,Gershenson et al. 2009,,,Gersh-RW,,forest,temperate,5,equal-time,Y,4.46,,,,
Hamdi2013,24,,91,Gershenson et al. 2009,,,Gersh-RW,,forest,temperate,5,equal-time,N,3.39,,,,
Hamdi2013,24,,91,Gershenson et al. 2009,,,Gersh-RW,,forest,temperate,16,equal-time,Y,2.4,,,,
Hamdi2013,24,,91,Gershenson et al. 2009,,,Gersh-RW,,forest,temperate,16,equal-time,N,2.11,,,,
Hamdi2013,24,,91,Gershenson et al. 2009,,,Gersh-RW,,forest,temperate,26,equal-time,Y,1.67,,,,
Hamdi2013,24,,91,Gershenson et al. 2009,,,Gersh-RW,,forest,temperate,26,equal-time,N,1.71,,,,
Hamdi2013,25,,92,Gillabel et al. 2010,"50_52'42""N","4_39'24""E",Gill,,cultivated,temperate,30,equal-C,N,2,0.54,,,
Hamdi2013,26,,93,Grisi et al. 1998,,,I,,forest,warm,25,equal-time,N,2.2,2.88,0.29,22,6.2
Hamdi2013,26,,94,Grisi et al. 1998,,,II,,cultivated,warm,25,equal-time,N,1.9,2.95,0.18,82,5.1
Hamdi2013,26,,95,Grisi et al. 1998,,,III,,cultivated,warm,25,equal-time,N,1.9,0.95,0.1,15,6.4
Hamdi2013,26,,96,Grisi et al. 1998,,,IV,,cultivated,temperate,25,equal-time,N,1.7,4.09,0.34,68,8.2
Hamdi2013,26,,97,Grisi et al. 1998,,,V,,grassland,temperate,25,equal-time,N,2.1,2.86,0.27,21,6.9
Hamdi2013,26,,98,Grisi et al. 1998,,,VI,,grassland,temperate,25,equal-time,N,1.4,1.5,0.14,8,6.8
